epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4512,3.07601,15.9961,3.56426,0.00036,0.24103,0.00939,0.00233,3.00412,7.4214,10.8018,0.000474746,0.000474746,0.000474746
2,141.747,2.69366,7.35479,3.04755,0.73491,0.11282,0.04307,0.01484,2.52651,5.97831,3.37121,0.000941663,0.000941663,0.000941663
3,212.313,2.53628,4.77476,2.89809,0.0236,0.28563,0.03493,0.01212,2.56085,4.11922,3.71624,0.00139915,0.00139915,0.00139915
4,282.81,2.33461,3.78878,2.62512,0.01619,0.49996,0.06659,0.02926,2.36451,3.839,2.94106,0.00138656,0.00138656,0.00138656
5,353.679,2.4407,3.32584,2.63663,0.49598,0.22613,0.11295,0.0506,2.37272,2.77127,2.85533,0.00137241,0.00137241,0.00137241
6,424.895,2.33356,3.17428,2.54376,0.37962,0.15897,0.0838,0.0299,2.45081,3.24318,2.83773,0.00135826,0.00135826,0.00135826
7,495.923,2.27145,3.05003,2.50077,0.26619,0.21685,0.11034,0.04053,2.46631,2.9922,2.94739,0.00134412,0.00134412,0.00134412
8,567.387,2.22692,2.94609,2.49574,0.41188,0.08718,0.10162,0.03718,2.299,3.19687,2.79052,0.00132997,0.00132997,0.00132997
9,638.732,2.26825,2.98829,2.55689,0.50729,0.15995,0.13507,0.05332,2.23399,2.78249,2.78369,0.00131582,0.00131582,0.00131582
10,710.38,2.23925,2.83886,2.53536,0.76779,0.16527,0.15038,0.05529,2.32107,2.71117,2.81297,0.00130168,0.00130168,0.00130168
11,782.245,2.02602,2.782,2.3608,0.7629,0.15385,0.1596,0.06073,2.32443,2.91041,2.83969,0.00128753,0.00128753,0.00128753
12,854.107,2.11027,2.80711,2.39787,0.9009,0.08718,0.16692,0.06254,2.28425,3.4382,2.84173,0.00127338,0.00127338,0.00127338
13,926.006,2.16793,2.7434,2.43057,0.50939,0.23903,0.20225,0.07111,2.32226,2.63169,2.79725,0.00125923,0.00125923,0.00125923
14,998.089,2.11544,2.79458,2.40177,0.44288,0.17436,0.21325,0.08667,2.27085,2.72782,2.90855,0.00124509,0.00124509,0.00124509
15,1070.17,2.09079,2.76298,2.39888,0.45908,0.16777,0.22449,0.0975,2.26843,2.65196,2.84457,0.00123094,0.00123094,0.00123094
16,1142.31,2.09467,2.66493,2.39629,0.813,0.14872,0.23438,0.10858,2.21146,2.49752,2.86653,0.00121679,0.00121679,0.00121679
17,1214.53,2.01419,2.66691,2.31344,0.43653,0.18974,0.22192,0.1083,2.14011,2.52823,2.66436,0.00120265,0.00120265,0.00120265
18,1286.78,2.0134,2.62979,2.33578,0.83535,0.15385,0.20525,0.0857,2.17272,2.41601,2.77236,0.0011885,0.0011885,0.0011885
19,1358.92,1.92674,2.62057,2.23986,0.51412,0.13333,0.17911,0.07271,2.2498,3.02456,2.80072,0.00117435,0.00117435,0.00117435
20,1431.18,2.04629,2.65174,2.40464,0.82424,0.18974,0.22314,0.09292,2.27045,2.43391,2.80759,0.00116021,0.00116021,0.00116021
21,1503.42,2.04775,2.65886,2.34568,0.39341,0.29129,0.21766,0.10376,2.14393,2.41247,2.71906,0.00114606,0.00114606,0.00114606
22,1575.7,1.95726,2.54114,2.26516,0.18153,0.32304,0.2142,0.1031,2.12733,2.5573,2.73601,0.00113191,0.00113191,0.00113191
23,1648.12,1.93329,2.49761,2.30752,0.82753,0.1641,0.23647,0.11089,2.09023,2.31549,2.70089,0.00111776,0.00111776,0.00111776
24,1720.96,1.97225,2.56172,2.28628,0.47206,0.19487,0.24525,0.12367,2.09426,2.43304,2.77258,0.00110362,0.00110362,0.00110362
25,1793.38,1.94498,2.42177,2.27891,0.47934,0.2339,0.23524,0.11528,2.07711,2.47771,2.70577,0.00108947,0.00108947,0.00108947
26,1865.74,1.9495,2.55558,2.28526,0.28907,0.24151,0.24267,0.10573,2.13635,2.436,2.75115,0.00107532,0.00107532,0.00107532
27,1938.1,1.95849,2.55965,2.30471,0.25211,0.23687,0.2528,0.11969,2.08963,2.47029,2.73321,0.00106118,0.00106118,0.00106118
28,2010.48,1.82803,2.41835,2.18691,0.86045,0.18516,0.22579,0.10013,2.17636,2.35778,2.77971,0.00104703,0.00104703,0.00104703
29,2082.91,1.99157,2.53197,2.28401,0.2219,0.35035,0.20581,0.10047,2.07357,2.58886,2.77658,0.00103288,0.00103288,0.00103288
30,2155.36,1.91296,2.46208,2.22604,0.48515,0.27902,0.24709,0.11386,2.08614,2.42374,2.7516,0.00101873,0.00101873,0.00101873
31,2227.95,1.80405,2.27131,2.1711,0.31122,0.30517,0.26792,0.14005,2.08223,2.3838,2.78414,0.00100459,0.00100459,0.00100459
32,2300.53,1.77984,2.18803,2.14545,0.3165,0.31343,0.27184,0.14857,2.06697,2.35529,2.78939,0.00099044,0.00099044,0.00099044
33,2373.1,1.84079,2.30292,2.19453,0.4039,0.3571,0.26932,0.13183,2.01447,2.33386,2.71129,0.000976293,0.000976293,0.000976293
34,2445.67,1.90695,2.46913,2.25447,0.24725,0.27342,0.25359,0.11916,2.07933,2.33476,2.79783,0.000962146,0.000962146,0.000962146
35,2518.26,1.84866,2.32096,2.29274,0.86378,0.12821,0.21295,0.10573,2.00369,2.50194,2.76729,0.000947999,0.000947999,0.000947999
36,2590.73,1.81938,2.34376,2.20332,0.44678,0.3571,0.28883,0.13214,1.98858,2.24116,2.7778,0.000933851,0.000933851,0.000933851
37,2663.28,1.91798,2.53412,2.29253,0.31086,0.3571,0.24655,0.13069,1.9797,2.31143,2.71817,0.000919704,0.000919704,0.000919704
38,2735.78,1.81098,2.33379,2.2314,0.21024,0.34884,0.25034,0.119,2.01075,2.32186,2.7386,0.000905557,0.000905557,0.000905557
39,2808.14,1.70459,2.26284,2.09244,0.2191,0.34123,0.20795,0.10597,1.92539,2.44233,2.62354,0.00089141,0.00089141,0.00089141
40,2880.62,1.85759,2.29469,2.20387,0.25295,0.30932,0.26088,0.12666,1.96813,2.28349,2.67398,0.000877263,0.000877263,0.000877263
41,2953.15,1.79929,2.29696,2.24767,0.26005,0.3313,0.25669,0.12551,1.9908,2.40807,2.75148,0.000863116,0.000863116,0.000863116
42,3025.72,1.78241,2.28823,2.15357,0.60583,0.23613,0.24257,0.11722,1.95886,2.33703,2.67142,0.000848969,0.000848969,0.000848969
43,3098.29,1.86313,2.41174,2.21938,0.50389,0.25442,0.2511,0.13383,1.90916,2.36397,2.62534,0.000834822,0.000834822,0.000834822
44,3170.76,1.81328,2.36265,2.17556,0.24228,0.35132,0.29409,0.14454,1.93912,2.32642,2.66874,0.000820675,0.000820675,0.000820675
